Neighborhood,prices,year,month,total crime,violent crime,drug crime,housing crime,price classified
Allston,419685.0,2015,6,121,18,5,13,low
Allston,425878.0,2015,7,203,29,3,26,low
Allston,431874.0,2015,8,284,38,9,45,low
Allston,438437.0,2015,9,244,28,3,35,low
Allston,442258.0,2015,10,240,35,4,28,low
Allston,446043.0,2015,11,205,34,8,22,low
Allston,451218.0,2015,12,200,24,11,33,low
Allston,458572.0,2016,1,198,31,8,27,low
Allston,460555.0,2016,2,193,31,6,20,low
Allston,463173.0,2016,3,222,41,9,24,low
Allston,461480.0,2016,4,221,33,4,23,low
Allston,464762.0,2016,5,234,34,5,36,low
Allston,467512.0,2016,6,199,18,3,21,low
Allston,470359.0,2016,7,228,28,3,22,low
Allston,473691.0,2016,8,240,35,1,21,low
Allston,476093.0,2016,9,250,33,6,35,low
Allston,479118.0,2016,10,250,42,4,48,low
Allston,482702.0,2016,11,235,36,6,12,low
Allston,485787.0,2016,12,193,23,3,26,low
Allston,490362.0,2017,1,185,27,2,9,low
Allston,496112.0,2017,2,218,36,3,19,low
Allston,502870.0,2017,3,220,25,8,14,medium
Allston,509355.0,2017,4,228,41,7,17,medium
Allston,514290.0,2017,5,238,36,9,13,medium
Allston,519766.0,2017,6,247,34,2,31,medium
Allston,525405.0,2017,7,267,27,10,28,medium
Allston,530581.0,2017,8,232,21,5,15,medium
Allston,532395.0,2017,9,277,33,1,24,medium
Allston,532836.0,2017,10,270,41,9,26,medium
Allston,532603.0,2017,11,217,30,6,24,medium
Allston,532230.0,2017,12,163,21,3,18,medium
Allston,532039.0,2018,1,189,28,8,17,medium
Allston,533869.0,2018,2,175,22,9,32,medium
Allston,537577.0,2018,3,195,18,6,16,medium
Allston,542726.0,2018,4,183,30,1,10,medium
Allston,547446.0,2018,5,219,27,1,19,medium
Allston,551827.0,2018,6,204,23,4,15,medium
Allston,554793.0,2018,7,175,18,7,19,medium
Allston,556903.0,2018,8,217,19,2,12,medium
Allston,558942.0,2018,9,216,26,1,18,medium
